cities,methane,methane_end,methane_start,carbonmonoxide,carbonmonoxide_end,carbonmonoxide_start,ozone,ozone_end,ozone_start,nitrogendioxide,nitrogendioxide_end,nitrogendioxide_start
Tokyo,1899.998657,2020-01-10T04:12:52.074000Z,2020-01-10T04:12:52.074000Z,0.038218427,2019-06-09T03:03:37.794000Z,2019-06-09T03:03:37.794000Z,0.123661783,2020-09-10T06:37:20.215000Z,2020-09-10T04:57:10.712000Z,0.000149319,2021-02-04T04:41:03.082000Z,2021-02-04T04:41:03.082000Z
Tokyo,1901.677856,2021-01-20T04:22:26.799000Z,2021-01-20T04:22:26.799000Z,0.03084203,2020-09-19T05:28:14.944000Z,2020-09-19T05:28:14.944000Z,0.131771028,2019-04-26T03:28:40.323000Z,2019-04-26T03:28:40.323000Z,0.000223771,2019-04-20T05:41:10.207000Z,2019-04-20T05:41:10.207000Z
Tokyo,1877.325317,2020-02-11T04:12:50.491000Z,2020-02-11T04:12:50.491000Z,0.02973487,2020-08-09T02:57:21.081000Z,2020-08-09T02:57:21.081000Z,0.141936645,2019-05-23T03:22:15.214000Z,2019-05-23T03:22:15.214000Z,5.92E-05,2020-01-02T04:22:38.269000Z,2020-01-02T04:22:38.269000Z
Tokyo,1902.848511,2021-04-10T05:22:15.306000Z,2021-04-10T05:22:15.306000Z,0.037367761,2019-07-30T03:46:52.907000Z,2019-07-30T03:46:52.907000Z,0.162866235,2020-02-08T03:28:53.120000Z,2020-02-08T03:28:53.120000Z,8.85E-05,2020-06-06T06:37:49.499000Z,2020-06-06T04:57:37.599000Z
Tokyo,1897.199341,2019-10-30T03:22:29.725000Z,2019-10-30T03:22:29.725000Z,0.038707763,2019-09-21T03:53:26.984000Z,2019-09-21T03:53:26.984000Z,0.112808377,2019-11-24T03:53:43.698000Z,2019-11-24T03:53:43.698000Z,0.000140492,2019-07-29T06:05:41.645000Z,2019-07-29T06:05:41.645000Z
Tokyo,1888.620728,2020-12-17T04:59:53.592000Z,2020-12-17T04:59:53.592000Z,0.042247098,2021-02-02T05:18:51.140000Z,2021-02-02T05:18:51.140000Z,0.142203867,2021-01-07T05:06:09.322000Z,2021-01-07T05:06:09.322000Z,4.87E-05,2020-11-23T04:09:54.996000Z,2020-11-23T04:09:54.996000Z
Tokyo,1914.009521,2020-11-14T05:18:46.768000Z,2020-11-14T05:18:46.768000Z,0.043083146,2020-04-07T03:22:39.652000Z,2020-04-07T03:22:39.652000Z,0.180863738,2020-02-09T03:10:16.956000Z,2020-02-09T03:10:16.956000Z,3.95E-05,2019-09-23T05:16:02.859000Z,2019-09-23T05:16:02.859000Z
Tokyo,1882.089111,2020-03-03T04:19:11.467000Z,2020-03-03T04:19:11.467000Z,0.042830724,2021-05-03T06:31:18.595000Z,2021-05-03T06:31:18.595000Z,0.157465957,2019-06-09T04:43:53.413000Z,2019-06-09T03:03:32.395000Z,0.000126071,2020-03-18T05:38:05.456000Z,2020-03-18T03:57:54.033000Z
Tokyo,1917.208862,2020-11-04T05:06:02.253000Z,2020-11-04T05:06:02.253000Z,0.031419225,2019-11-12T04:18:57.735000Z,2019-11-12T04:18:57.735000Z,0.12118794,2020-09-19T05:28:10.745000Z,2020-09-19T05:28:10.745000Z,6.24E-05,2019-03-31T05:16:25.237000Z,2019-03-31T05:16:25.237000Z
Tokyo,1897.171631,2019-11-05T03:10:08.899000Z,2019-11-05T03:10:08.899000Z,0.035155546,2020-07-29T04:43:56.491000Z,2020-07-29T04:43:56.491000Z,0.148366809,2019-05-09T04:25:06.503000Z,2019-05-09T02:45:17.883000Z,5.16E-05,2019-09-08T06:37:35.186000Z,2019-09-08T04:57:26.045000Z
Tokyo,1872.296265,2020-02-06T04:06:33.404000Z,2020-02-06T04:06:33.404000Z,0.028818265,2019-08-07T04:37:29.451000Z,2019-08-07T02:57:20.313000Z,0.124098103,2020-08-09T04:37:23.622000Z,2020-08-09T02:57:14.362000Z,0.000135653,2019-03-01T05:19:10.650000Z,2019-03-01T05:19:10.650000Z
Tokyo,1873.506836,2019-04-20T03:41:12.366000Z,2019-04-20T03:41:12.366000Z,0.039806947,2021-03-07T04:59:50.025000Z,2021-03-07T04:59:50.025000Z,0.132695764,2019-07-30T03:46:50.748000Z,2019-07-30T03:46:50.748000Z,7.35E-05,2019-03-21T05:44:28.487000Z,2019-03-21T04:04:06.147000Z
Tokyo,1888.861206,2020-01-02T03:22:46.668000Z,2020-01-02T03:22:46.668000Z,0.043387592,2020-11-18T04:03:49.419000Z,2020-11-18T04:03:49.419000Z,0.118924409,2019-09-21T03:53:24.465000Z,2019-09-21T03:53:24.465000Z,4.52E-05,2019-12-09T05:12:40.231000Z,2019-12-09T05:12:40.231000Z
Tokyo,1854.412964,2019-03-13T03:53:57.552000Z,2019-03-13T03:53:57.552000Z,0.044019058,2019-03-30T03:35:08.055000Z,2019-03-30T03:35:08.055000Z,0.122547552,2021-02-02T05:18:47.781000Z,2021-02-02T05:18:47.781000Z,7.76E-05,2020-06-10T05:22:20.976000Z,2020-06-10T05:22:20.976000Z
Tokyo,1918.837158,2021-01-25T04:28:42.838000Z,2021-01-25T04:28:42.838000Z,0.03539627,2020-10-26T04:34:38.764000Z,2020-10-26T04:34:38.764000Z,0.14456816,2020-01-27T03:53:51.385000Z,2020-01-27T03:53:51.385000Z,0.000175176,2021-03-05T05:37:50.364000Z,2021-03-05T03:57:35.100000Z
Tokyo,1885.571289,2019-10-23T03:53:39.247000Z,2019-10-23T03:53:39.247000Z,0.034932081,2019-12-03T04:25:28.120000Z,2019-12-03T04:25:28.120000Z,0.127564192,2020-07-10T03:59:38.739000Z,2020-07-10T03:59:38.739000Z,8.41E-05,2019-03-29T04:53:49.516000Z,2019-03-29T04:53:49.516000Z
Tokyo,1881.009521,2019-03-20T03:22:44.650000Z,2019-03-20T03:22:44.650000Z,0.037304506,2019-10-27T04:18:53.198000Z,2019-10-27T04:18:53.198000Z,0.15446955,2020-04-07T03:22:36.293000Z,2020-04-07T03:22:36.293000Z,8.79E-05,2020-02-28T04:53:51.516000Z,2020-02-28T04:53:51.516000Z
Tokyo,1917.262329,2020-11-30T05:18:54.324000Z,2020-11-30T05:18:54.324000Z,0.035711914,2019-06-30T03:09:38.770000Z,2019-06-30T03:09:38.770000Z,0.125133514,2020-11-08T05:31:19.428000Z,2020-11-08T05:31:19.428000Z,0.000119779,2020-04-20T06:18:59.518000Z,2020-04-20T06:18:59.518000Z
Tokyo,1911.383301,2020-11-10T04:53:29.750000Z,2020-11-10T04:53:29.750000Z,0.0459144,2020-04-08T04:44:30.320000Z,2020-04-08T03:04:05.818000Z,0.109630719,2019-12-06T03:28:47.182000Z,2019-12-06T03:28:47.182000Z,0.000135746,2021-01-09T04:28:36.178000Z,2021-01-09T04:28:36.178000Z
Tokyo,1867.984863,2019-02-17T03:04:23.380000Z,2019-02-17T03:04:23.380000Z,0.047329295,2019-08-25T03:59:35.947000Z,2019-08-25T03:59:35.947000Z,0.12986628,2020-07-03T04:31:17.796000Z,2020-07-03T02:51:19.096000Z,5.54E-05,2019-11-20T04:28:44.464000Z,2019-11-20T04:28:44.464000Z
Tokyo,1873.179199,2019-12-23T03:10:21.372000Z,2019-12-23T03:10:21.372000Z,0.038289584,2019-12-05T03:47:34.468000Z,2019-12-05T03:47:34.468000Z,0.177917421,2021-05-03T06:31:08.516000Z,2021-05-03T04:51:09.575000Z,0.000168369,2021-03-19T04:34:43.304000Z,2021-03-19T04:34:43.304000Z
Tokyo,1903.684204,2020-10-25T04:53:24.259000Z,2020-10-25T04:53:24.259000Z,0.035175961,2020-07-22T03:34:35.264000Z,2020-07-22T03:34:35.264000Z,0.123957977,2019-11-12T04:18:54.376000Z,2019-11-12T04:18:54.376000Z,0.000214012,2019-02-22T04:10:24.337000Z,2019-02-22T04:10:24.337000Z
Tokyo,1873.517334,2019-04-16T03:16:23.405000Z,2019-04-16T03:16:23.405000Z,0.037891302,2019-05-22T03:40:58.100000Z,2019-05-22T03:40:58.100000Z,0.129074357,2020-07-29T04:43:49.772000Z,2020-07-29T03:03:28.873000Z,0.000112474,2019-11-23T05:12:37.108000Z,2019-11-23T05:12:37.108000Z
Tokyo,1903.674561,2021-04-07T06:18:43.834000Z,2021-04-07T06:18:43.834000Z,0.044298301,2020-01-25T04:31:52.662000Z,2020-01-25T02:51:52.517000Z,0.128018044,2019-08-07T04:37:24.412000Z,2019-08-07T02:57:15.274000Z,6.39E-05,2019-05-16T05:53:30.279000Z,2019-05-16T05:53:30.279000Z
Tokyo,1884.776245,2020-09-28T05:59:34.641000Z,2020-09-28T05:59:34.641000Z,0.03845641,2019-04-02T04:19:05.855000Z,2019-04-02T04:19:05.855000Z,0.12398468,2020-11-18T05:44:04.808000Z,2020-11-18T04:03:43.540000Z,9.02E-05,2020-02-18T04:41:20.906000Z,2020-02-18T04:41:20.906000Z
Tokyo,1883.519043,2019-11-29T04:00:04.479000Z,2019-11-29T04:00:04.479000Z,0.033124443,2020-11-14T05:18:44.248000Z,2020-11-14T05:18:44.248000Z,0.125326291,2020-10-26T04:34:36.245000Z,2020-10-26T04:34:36.245000Z,3.84E-05,2020-02-02T04:41:20.561000Z,2020-02-02T04:41:20.561000Z
Tokyo,1900.891235,2021-01-08T04:47:23.589000Z,2021-01-08T04:47:23.589000Z,0.044210181,2021-02-04T04:41:04.761000Z,2021-02-04T04:41:04.761000Z,0.11887477,2019-12-03T04:25:18.881000Z,2019-12-03T02:45:30.374000Z,0.000112132,2020-06-09T05:41:01.409000Z,2020-06-09T05:41:01.409000Z
Tokyo,1864.365723,2019-04-06T03:04:07.043000Z,2019-04-06T03:04:07.043000Z,0.042189557,2019-04-20T03:41:12.366000Z,2019-04-20T03:41:12.366000Z,0.126316175,2019-10-27T04:18:49.839000Z,2019-10-27T04:18:49.839000Z,3.10E-05,2020-08-02T05:28:13.507000Z,2020-08-02T05:28:13.507000Z
Tokyo,1879.066772,2019-03-15T03:16:34.792000Z,2019-03-15T03:16:34.792000Z,0.034786254,2020-01-02T03:22:41.628000Z,2020-01-02T03:22:41.628000Z,0.135569021,2019-06-30T03:09:31.211000Z,2019-06-30T03:09:31.211000Z,8.75E-05,2021-01-11T05:31:30.297000Z,2021-01-11T05:31:30.297000Z
Tokyo,1867.936035,2020-01-30T02:58:04.341000Z,2020-01-30T02:58:04.341000Z,0.04098526,2019-02-17T04:44:43.322000Z,2019-02-17T03:04:19.060000Z,0.155768216,2020-04-08T04:44:24.441000Z,2020-04-08T03:04:02.459000Z,5.01E-05,2019-06-29T05:28:07.835000Z,2019-06-29T05:28:07.835000Z
Tokyo,1897.822632,2021-01-10T04:10:05.084000Z,2021-01-10T04:10:05.084000Z,0.036035821,2020-10-25T04:53:24.259000Z,2020-10-25T04:53:24.259000Z,0.132273361,2019-08-25T03:59:33.427000Z,2019-08-25T03:59:33.427000Z,0.000176266,2020-08-17T05:46:48.993000Z,2020-08-17T05:46:48.993000Z
Tokyo,1853.089355,2019-04-11T03:10:14.698000Z,2019-04-11T03:10:14.698000Z,0.040726904,2019-04-16T03:16:22.325000Z,2019-04-16T03:16:22.325000Z,0.113273799,2019-12-05T03:47:30.269000Z,2019-12-05T03:47:30.269000Z,9.61E-05,2019-09-03T06:31:12.302000Z,2019-09-03T04:51:14.921000Z
Tokyo,1864.437256,2020-02-23T03:47:39.399000Z,2020-02-23T03:47:39.399000Z,0.037620455,2019-07-29T04:05:43.804000Z,2019-07-29T04:05:43.804000Z,0.138151303,2020-07-22T03:34:31.065000Z,2020-07-22T03:34:31.065000Z,5.74E-05,2019-05-02T05:16:13.382000Z,2019-05-02T05:16:13.382000Z
Tokyo,1915.986572,2020-11-09T05:12:27.228000Z,2020-11-09T05:12:27.228000Z,0.036484744,2020-10-30T04:59:44.949000Z,2020-10-30T04:59:44.949000Z,0.135896772,2019-05-22T03:40:55.941000Z,2019-05-22T03:40:55.941000Z,4.37E-05,2019-02-11T04:16:37.916000Z,2019-02-11T04:16:37.916000Z
Tokyo,1872.751953,2019-04-28T04:31:40.599000Z,2019-04-28T04:31:40.599000Z,0.0494023,2019-05-27T03:47:10.151000Z,2019-05-27T03:47:10.151000Z,0.139257975,2020-01-25T04:31:45.943000Z,2020-01-25T02:51:45.798000Z,0.000419472,2019-03-19T04:41:21.236000Z,2019-03-19T04:41:21.236000Z
Tokyo,1873.081787,2019-10-01T04:06:06.313000Z,2019-10-01T04:06:06.313000Z,0.045282193,2020-05-11T04:25:18.329000Z,2020-05-11T04:25:18.329000Z,0.148972914,2021-04-08T05:59:40.888000Z,2021-04-08T05:59:40.888000Z,5.26E-05,2020-08-14T06:43:42.094000Z,2020-08-14T05:03:21.794000Z
Tokyo,1928.807373,2020-11-21T04:47:15.262000Z,2020-11-21T04:47:15.262000Z,0.045108829,2021-03-17T05:12:27.846000Z,2021-03-17T05:12:27.846000Z,0.132572711,2020-11-14T05:18:40.889000Z,2020-11-14T05:18:40.889000Z,0.00015556,2019-06-26T06:24:40.790000Z,2019-06-26T04:44:54.092000Z
Tokyo,1899.564941,2021-01-31T04:16:15.532000Z,2021-01-31T04:16:15.532000Z,0.037012972,2020-12-22T05:06:11.928000Z,2020-12-22T05:06:11.928000Z,0.136888877,2020-01-02T03:22:38.269000Z,2020-01-02T03:22:38.269000Z,5.41E-05,2020-07-11T05:40:50.136000Z,2020-07-11T05:40:50.136000Z
Tokyo,1891.950317,2019-12-16T03:41:19.162000Z,2019-12-16T03:41:19.162000Z,0.044002898,2020-11-23T04:09:58.355000Z,2020-11-23T04:09:58.355000Z,0.133243501,2020-07-18T03:09:44.003000Z,2020-07-18T03:09:44.003000Z,4.03E-05,2019-11-17T05:25:15.299000Z,2019-11-17T03:45:27.752000Z
